City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
324,Camargo,MX,79.07,clear sky,27.6667,-105.1667,Hotel Santa Fe
325,Hobyo,SO,77.88,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
328,Boyolangu,ID,78.12,overcast clouds,-8.1181,111.8935,Yos ega cv
330,Gotsu,JP,77.14,overcast clouds,35.0,132.2167,Yurusato
331,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
334,Bubaque,GW,82.56,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
335,Salinas,US,86.4,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
336,Omboue,GA,76.19,overcast clouds,-1.5746,9.2618,Hotel Olako
337,Virar,IN,78.89,overcast clouds,19.4667,72.8,Go Firne
342,Jiaojiang,CN,82.0,light rain,28.6803,121.4428,Jiaojiang Hotel
347,Sydney,AU,78.31,light rain,-33.8679,151.2073,The Grace Sydney
349,Ugoofaaru,MV,81.12,overcast clouds,5.6667,73.0,Ungoofaaru Inn
350,Mangrol,IN,80.38,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
355,Barreirinha,BR,78.13,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
356,Nata,PA,76.46,overcast clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
359,Tura,IN,75.22,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
367,Chazuta,PE,79.65,broken clouds,-6.5742,-76.1367,Hospedaje Feliz Amanecer
370,Shingu,JP,77.99,overcast clouds,33.7333,135.9833,Shingu UI Hotel
373,Gopalpur,IN,80.15,overcast clouds,19.2667,84.9167,Gopalpur Palm Resort
374,Puerto Suarez,BO,87.82,clear sky,-18.95,-57.8,Hotel casa real
377,Dingle,PH,83.91,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
382,Lazaro Cardenas,MX,80.58,clear sky,17.9583,-102.2,quinta antigua
383,Kulhudhuffushi,MV,81.79,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
384,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
387,Kieta,PG,81.1,light rain,-6.2167,155.6333,Uruna Bay Retreat
389,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
393,Beruwala,LK,79.47,overcast clouds,6.4788,79.9828,The Palms Hotel
398,Bengkulu,ID,76.41,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
400,Cockburn Town,TC,83.43,clear sky,21.4612,-71.1419,Osprey Beach Hotel
401,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
405,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
411,Jizan,SA,86.94,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
414,Turan,VN,84.25,few clouds,16.0678,108.2208,Sun River Hotel
418,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
422,Bosaso,SO,87.42,overcast clouds,11.2842,49.1816,Red Sea Hotel
424,Baculin,PH,84.92,few clouds,7.4525,126.5842,Shovy's Cove
425,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
427,Buala,SB,84.65,light rain,-8.145,159.5921,Maringe Lagoon Lodge
430,Dicabisagan,PH,85.1,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
442,Portmore,JM,78.76,few clouds,17.9702,-76.8672,Salmon Way Inn
445,Wewak,PG,83.1,heavy intensity rain,-3.5534,143.6268,In Wewak Boutique Hotel
447,Iwakura,JP,76.17,light rain,35.2833,136.8667,Business Hotel Iwakura
454,Acarau,BR,78.71,broken clouds,-2.8856,-40.12,castelo pizzaria
458,Banjar,ID,80.46,clear sky,-8.19,114.9675,The Hamsa Resort
459,Bull Savanna,JM,78.49,clear sky,17.8868,-77.5902,Big Red's
463,Mae Ramat,TH,80.92,broken clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
466,Robinson,US,84.2,clear sky,31.4677,-97.1147,Flat Creek Farms RV Resort
468,San Nicolas,PH,82.31,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
470,Danshui,CN,89.94,clear sky,22.7984,114.4672,Grand Skylight International Hotel Huizhou
471,Porbandar,IN,80.42,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
473,Lukang,TW,88.21,clear sky,24.0567,120.4352,二鹿行館 Lu Kang Bed and Breakbast
476,Karatsu,JP,78.67,overcast clouds,33.4425,129.9697,Niji no Matsubara Hotel
479,Takoradi,GH,76.1,broken clouds,4.8845,-1.7554,Raybow International Hotel
482,Nan,TH,78.82,few clouds,18.8333,100.6667,สะเนียน2
486,Lompoc,US,84.38,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
491,Kandrian,PG,83.26,light rain,-6.2167,149.55,Kandrian Station
503,Progreso,MX,84.31,few clouds,21.2833,-89.6667,Playa Linda Hotel
504,Gizo,SB,84.31,overcast clouds,-8.103,156.8419,Imagination Island
507,Nacogdoches,US,77.18,clear sky,31.6002,-94.6335,The Fredonia Hotel & Convention Center
515,Mandera,KE,77.68,scattered clouds,3.9366,41.867,Kornesh Hotel and Lodging
516,Tucuman,AR,78.8,clear sky,-26.8241,-65.2226,HOTEL MIAMI
522,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
523,Mana,GF,79.41,scattered clouds,5.6592,-53.7767,LE SAMANA
527,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
530,Khorramshahr,IR,84.16,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
533,Charters Towers,AU,80.06,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
537,Laguna,US,87.94,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
538,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
540,Juazeiro,BR,84.38,clear sky,-9.4117,-40.4986,JB Hotel
542,Banamba,ML,79.27,overcast clouds,13.55,-7.45,Kassela de Banamba
548,Celestun,MX,82.63,overcast clouds,20.8667,-90.4,Posada Lilia
551,Fare,PF,78.78,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
557,Voh,NC,83.53,broken clouds,-20.9667,164.7,Le gîte du Koniambo
559,Blora,ID,82.76,broken clouds,-6.9698,111.4186,Hotel Adhi Jaya
561,Mansoa,GW,77.97,overcast clouds,12.0733,-15.3189,Hotel Uaque
562,Kirakira,SB,84.63,overcast clouds,-10.4544,161.9205,SanBiz Lodge
564,Sao Miguel Do Araguaia,BR,77.83,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
567,Pochutla,MX,82.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
568,Luangwa,ZM,78.26,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
569,Manokwari,ID,83.79,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
570,Bayshore Gardens,US,84.24,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
571,Karaton,ID,82.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
573,Indramayu,ID,83.64,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
574,North Myrtle Beach,US,76.1,broken clouds,33.816,-78.68,Avista Resort
576,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
577,Maracaibo,VE,79.34,scattered clouds,10.6317,-71.6406,Motel Aladdin
578,Kanniyakumari,IN,79.84,overcast clouds,8.0833,77.5667,Sparsa
592,Hefei,CN,77.02,clear sky,31.8639,117.2808,Jinhuan Hotel
594,Mitsamiouli,KM,75.69,clear sky,-11.3847,43.2844,Foyer ADM
596,Jimenez,MX,79.54,clear sky,28.3333,-105.4,Hacienda Las Marias
