City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
171,Eyl,SO,7.9803,49.8164,78.21,80,64,15.35,broken clouds
172,San Juan,AR,-31.5375,-68.5364,66.72,29,0,14.32,clear sky
173,Arraial Do Cabo,BR,-22.9661,-42.0278,69.53,87,100,8.57,overcast clouds
174,Tsirguliina,EE,57.864,26.1947,42.96,89,100,6.58,overcast clouds
175,Castro,BR,-24.7911,-50.0119,58.51,91,0,7.9,clear sky
176,Chapais,CA,49.7834,-74.8492,47.98,69,100,3.36,overcast clouds
177,Portland,US,45.5234,-122.6762,61.81,91,75,1.01,broken clouds
178,Cap Malheureux,MU,-19.9842,57.6142,72.09,73,94,8.99,light rain
179,San Andres,CO,12.5847,-81.7006,84.22,79,40,8.05,scattered clouds
180,Minab,IR,27.1467,57.0801,81.9,59,44,2.59,scattered clouds
181,Lenger,KZ,42.183,69.8839,40.44,53,55,0.78,broken clouds
182,Gulariya,NP,28.2333,81.3333,76.17,90,1,2.98,clear sky
183,Santiago De Cuba,CU,20.0247,-75.8219,82.51,69,20,6.91,few clouds
184,Lebu,CL,-37.6167,-73.65,50.16,85,100,5.95,overcast clouds
185,Basco,PH,20.4487,121.9702,83.43,77,96,5.7,overcast clouds
186,Fasa,IR,28.9383,53.6482,61.84,31,0,0.0,clear sky
187,Namibe,AO,-15.1961,12.1522,59.77,85,5,3.67,clear sky
188,Carnarvon,AU,-24.8667,113.6333,75.27,73,90,14.97,overcast clouds
189,Belmonte,BR,-15.8631,-38.8828,77.5,85,0,8.55,clear sky
190,Marawi,PH,7.9986,124.2928,74.64,69,86,2.28,overcast clouds
191,Saint-Joseph,RE,-21.3667,55.6167,70.16,78,43,10.02,scattered clouds
192,Chute-Aux-Outardes,CA,49.1168,-68.399,46.71,87,90,9.22,light rain
193,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,3.44,clear sky
194,Tabou,CI,4.423,-7.3528,76.75,89,95,5.08,overcast clouds
195,Provideniya,RU,64.3833,-173.3,35.71,55,90,15.66,light snow
196,Frontino,CO,6.7801,-76.1288,63.59,99,100,0.72,overcast clouds
197,Pangnirtung,CA,66.1451,-65.7125,35.56,43,12,2.24,few clouds
198,Ilulissat,GL,69.2167,-51.1,30.22,59,75,3.44,broken clouds
199,Kabalo,CD,-6.05,26.9167,68.67,89,39,0.69,scattered clouds
200,Ibanda,TZ,-2.7974,32.4746,70.05,68,100,1.95,overcast clouds
201,Cherskiy,RU,68.75,161.3,21.04,90,22,7.27,few clouds
202,Turbat,PK,26.0023,63.044,86.72,54,100,4.27,overcast clouds
203,Podgorica,ME,42.4411,19.2636,64.18,55,0,5.75,clear sky
204,Henties Bay,NA,-22.116,14.2845,54.86,82,100,9.51,overcast clouds
205,Hirara,JP,24.8,125.2833,86.27,74,40,10.36,scattered clouds
206,Burnie,AU,-41.0667,145.9167,60.84,82,50,8.14,scattered clouds
207,Fairbanks,US,64.8378,-147.7164,39.6,65,90,3.44,overcast clouds
208,Mae Sai,TH,20.4335,99.8762,78.44,96,60,0.38,broken clouds
209,Calafell,ES,41.2,1.5683,67.37,91,0,3.0,clear sky
210,Srednekolymsk,RU,67.45,153.6833,28.38,57,0,10.98,clear sky
211,Atkarsk,RU,51.8718,45.0078,45.25,69,100,5.21,overcast clouds
212,Kruisfontein,ZA,-34.0033,24.7314,58.89,95,81,4.92,broken clouds
213,Avera,US,33.194,-82.5271,76.71,61,100,3.0,overcast clouds
