City_ID,City,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Caravelas,2021-09-29 01:20:21,-17.7125,-39.2481,70.81,87,0,5.37
107,Sao Joao Da Barra,2021-09-29 01:17:06,-21.6403,-41.0511,72.41,87,0,18.95
108,Atuona,2021-09-29 01:20:22,-9.8,-139.0333,78.04,71,4,19.28
109,Cape Town,2021-09-29 01:18:01,-33.9258,18.4232,60.12,74,0,13.8
110,Port Alfred,2021-09-29 01:20:22,-33.5906,26.891,58.44,86,100,11.36
111,Manggar,2021-09-29 01:20:22,-2.8833,108.2667,84.31,71,98,12.64
112,Yuxia,2021-09-29 01:20:23,34.0615,108.6291,63.21,64,0,1.48
113,Bredasdorp,2021-09-29 01:20:23,-34.5322,20.0403,48.27,88,13,3.78
114,Nanortalik,2021-09-29 01:17:15,60.1432,-45.2371,37.0,63,1,4.63
115,Antofagasta,2021-09-29 01:16:03,-23.65,-70.4,58.28,81,15,4.65
116,Barrow,2021-09-29 01:17:36,71.2906,-156.7887,28.42,86,90,4.61
117,Dondo,2021-09-29 01:20:24,-19.6094,34.7431,69.1,94,0,1.83
118,Coihaique,2021-09-29 01:16:20,-45.5752,-72.0662,40.95,75,0,2.3
119,Labuhan,2021-09-29 01:20:24,-6.8844,112.2051,82.85,65,68,8.59
120,Barreirinha,2021-09-29 01:20:24,-2.7933,-57.07,78.19,69,28,3.83
121,Haines Junction,2021-09-29 01:20:25,60.7522,-137.5108,40.95,56,99,2.3
122,Fonte Boa,2021-09-29 01:20:25,-2.4959,-66.2662,72.21,96,42,3.44
123,Cortez,2021-09-29 01:16:05,37.3489,-108.5859,63.52,64,40,0.0
124,Ambilobe,2021-09-29 01:20:26,-13.2,49.05,69.6,75,12,6.06
125,Chuy,2021-09-29 01:20:26,-33.6971,-53.4616,57.31,87,91,12.55
126,Cabo San Lucas,2021-09-29 01:18:03,22.8909,-109.9124,87.51,67,1,1.01
127,Qasigiannguit,2021-09-29 01:20:26,68.8193,-51.1922,26.85,75,73,4.79
128,Mudu,2021-09-29 01:20:27,31.252,120.5118,79.02,82,100,11.99
129,Narsaq,2021-09-29 01:18:24,60.9167,-46.05,34.02,45,0,6.46
130,Scarborough,2021-09-29 01:18:34,54.2797,-0.4044,51.53,91,100,1.99
131,Terrace,2021-09-29 01:18:44,54.5163,-128.6035,50.43,76,75,12.66
132,Kodinsk,2021-09-29 01:20:27,58.6881,99.1844,35.8,90,100,1.92
133,Susanville,2021-09-29 01:20:28,40.4163,-120.653,59.83,32,3,1.99
134,Isangel,2021-09-29 01:17:44,-19.55,169.2667,76.24,69,94,13.02
135,Victoria,2021-09-29 01:19:53,22.2855,114.1577,87.96,82,0,5.01
136,Vila Franca Do Campo,2021-09-29 01:20:28,37.7167,-25.4333,75.2,91,31,4.79
137,Port Hardy,2021-09-29 01:19:00,50.6996,-127.4199,53.78,66,90,5.75
138,Liverpool,2021-09-29 01:20:29,53.4106,-2.9779,50.29,86,40,1.01
139,Champerico,2021-09-29 01:20:29,14.3,-91.9167,83.35,77,48,8.1
140,Lodja,2021-09-29 01:20:30,-3.4833,23.4333,68.58,99,100,1.05
141,Mar Del Plata,2021-09-29 01:17:32,-38.0023,-57.5575,54.12,72,0,1.01
142,Banda Aceh,2021-09-29 01:20:30,5.5577,95.3222,78.89,82,100,5.61
